"时间","平台","订单","日志类型","价格","数量","消息"
2019-12-18 00:00:00,,,信息,,,6735.2

2019-12-18 00:00:00,,,信息,,,6739.4

2019-12-18 00:02:00,,,信息,,,6735.2

2019-12-18 00:02:00,,,信息,,,6739.401

2019-12-18 00:04:00,,,信息,,,6735.2

2019-12-18 00:04:00,,,信息,,,6739.399

2019-12-18 00:06:00,,,信息,,,6735.2

2019-12-18 00:06:00,,,信息,,,6709.85

2019-12-18 00:08:00,,,信息,,,6735.2

2019-12-18 00:08:00,,,信息,,,6719.7

2019-12-18 00:12:00,,,信息,,,6735.2

2019-12-18 00:12:00,,,信息,,,6700.0

2019-12-18 00:20:00,,,信息,,,6735.2

2019-12-18 00:20:00,,,信息,,,6726.766

2019-12-18 00:24:00,,,信息,,,6735.2

2019-12-18 00:24:00,,,信息,,,6721.413

2019-12-18 00:32:00,,,信息,,,6735.2

2019-12-18 00:32:00,,,信息,,,6753.533

2019-12-18 00:36:00,,,信息,,,6735.2

