"时间","平台","订单","日志类型","价格","数量","消息"
2019-12-17 03:00:00,,,信息,,,7032.6

2019-12-17 03:00:00,,,信息,,,6975.0

2019-12-17 03:02:00,,,信息,,,7032.6

2019-12-17 03:02:00,,,信息,,,6975.001

2019-12-17 03:04:00,,,信息,,,7032.6

2019-12-17 03:04:00,,,信息,,,6974.999

2019-12-17 03:06:00,,,信息,,,7032.6

2019-12-17 03:06:00,,,信息,,,6975.075

2019-12-17 03:08:00,,,信息,,,7032.6

2019-12-17 03:08:00,,,信息,,,6975.05

2019-12-17 03:12:00,,,信息,,,7032.6

2019-12-17 03:12:00,,,信息,,,6975.1

2019-12-17 03:20:00,,,信息,,,7032.6

2019-12-17 03:20:00,,,信息,,,6959.033

2019-12-17 03:24:00,,,信息,,,7032.6

2019-12-17 03:24:00,,,信息,,,6962.246

2019-12-17 03:32:00,,,信息,,,7032.6

2019-12-17 03:32:00,,,信息,,,6942.966

2019-12-17 03:36:00,,,信息,,,7032.6

2019-12-17 03:36:00,,,信息,,,6946.18

2019-12-17 03:46:00,,,信息,,,7032.6

2019-12-17 03:46:00,,,信息,,,6926.9

2019-12-17 03:50:00,,,信息,,,7032.6

2019-12-17 03:50:00,,,信息,,,6942.425

2019-12-17 03:54:00,,,信息,,,7032.6

2019-12-17 03:54:00,,,信息,,,6937.25

2019-12-17 03:58:00,,,信息,,,7032.6

2019-12-17 03:58:00,,,信息,,,6947.6

2019-12-17 04:00:00,,,信息,,,7032.6

2019-12-17 04:00:00,,,信息,,,6946.3

2019-12-17 04:02:00,,,信息,,,7032.6

2019-12-17 04:02:00,,,信息,,,6946.301

2019-12-17 04:04:00,,,信息,,,7032.6

2019-12-17 04:04:00,,,信息,,,6946.299

2019-12-17 04:06:00,,,信息,,,7032.6

2019-12-17 04:06:00,,,信息,,,6952.9

2019-12-17 04:08:00,,,信息,,,7032.6

2019-12-17 04:08:00,,,信息,,,6950.7

2019-12-17 04:12:00,,,信息,,,7032.6

2019-12-17 04:12:00,,,信息,,,6955.1

2019-12-17 04:20:00,,,信息,,,7032.6

2019-12-17 04:20:00,,,信息,,,6936.733

2019-12-17 04:24:00,,,信息,,,7032.6

2019-12-17 04:24:00,,,信息,,,6940.406

2019-12-17 04:32:00,,,信息,,,7032.6

2019-12-17 04:32:00,,,信息,,,6918.366

2019-12-17 04:36:00,,,信息,,,7032.6

2019-12-17 04:36:00,,,信息,,,6922.04

2019-12-17 04:46:00,,,信息,,,7032.6

2019-12-17 04:46:00,,,信息,,,6900.0

2019-12-17 04:50:00,,,信息,,,7032.6

2019-12-17 04:50:00,,,信息,,,6905.4

2019-12-17 04:54:00,,,信息,,,7032.6

2019-12-17 04:54:00,,,信息,,,6903.6

2019-12-17 04:58:00,,,信息,,,7032.6

2019-12-17 04:58:00,,,信息,,,6907.2

2019-12-17 05:00:00,,,信息,,,7032.6

2019-12-17 05:00:00,,,信息,,,6907.2

2019-12-17 05:37:05,,,信息,,,7032.6

2019-12-17 05:37:05,,,信息,,,6938.7

2019-12-17 05:58:00,,,信息,,,7032.6

2019-12-17 05:58:00,,,信息,,,6925.9

2019-12-17 06:00:00,,,信息,,,7032.6

2019-12-17 06:00:00,,,信息,,,6925.8

2019-12-17 06:37:05,,,信息,,,7032.6

2019-12-17 06:37:05,,,信息,,,6932.4

2019-12-17 06:58:00,,,信息,,,7032.6

2019-12-17 06:58:00,,,信息,,,6932.25

2019-12-17 07:00:00,,,信息,,,7032.6

2019-12-17 07:00:00,,,信息,,,6932.25

2019-12-17 07:02:00,,,信息,,,7032.6

2019-12-17 07:02:00,,,信息,,,6932.251

2019-12-17 07:04:00,,,信息,,,7032.6

2019-12-17 07:04:00,,,信息,,,6932.249

2019-12-17 07:06:00,,,信息,,,7032.6

2019-12-17 07:06:00,,,信息,,,6936.562

2019-12-17 07:08:00,,,信息,,,7032.6

2019-12-17 07:08:00,,,信息,,,6935.125

2019-12-17 07:12:00,,,信息,,,7032.6

2019-12-17 07:12:00,,,信息,,,6938.0

2019-12-17 07:20:00,,,信息,,,7032.6

2019-12-17 07:20:00,,,信息,,,6933.466

2019-12-17 07:24:00,,,信息,,,7032.6

2019-12-17 07:24:00,,,信息,,,6934.373

2019-12-17 07:32:00,,,信息,,,7032.6

2019-12-17 07:32:00,,,信息,,,6928.933

2019-12-17 07:36:00,,,信息,,,7032.6

2019-12-17 07:36:00,,,信息,,,6929.84

